user_id,trip_frequency,avg_booking_value,destination_diversity,session_duration_min,search_count,advance_booking_days,cancellation_rate,loyalty_points,mobile_usage_pct,avg_trip_duration_days,repeat_destination_rate,account_age_days
VYG00111,6.7,2477.89,21.0,34.3,98,16.0,0.584,1108.0,0.846,9.0,0.199,1189.0
VYG00112,6.9,2985.52,15.0,41.8,68,8.0,0.203,1477.0,0.894,9.0,0.118,405.0
VYG00113,9.5,3505.81,16.0,18.3,56,11.0,0.217,1116.0,1.0,13.0,0.264,506.0
VYG00114,7.8,1965.07,17.0,31.1,49,10.0,0.292,456.0,0.827,12.0,,709.0
VYG00115,7.5,6053.98,25.0,28.0,59,17.0,0.171,764.0,0.714,8.0,0.312,657.0
VYG00116,8.2,5821.94,15.0,29.5,91,2.0,0.6,989.0,0.794,10.0,0.106,301.0
VYG00117,5.4,1226.74,21.0,29.6,49,9.0,0.288,869.0,0.848,9.0,0.5,471.0
VYG00118,7.9,4367.17,20.0,30.6,63,18.0,0.489,970.0,0.705,4.0,,224.0
VYG00119,7.4,1231.82,23.0,35.5,62,9.0,0.168,1524.0,0.731,10.0,0.355,490.0
VYG00120,9.3,,24.0,28.7,73,4.0,0.086,1519.0,0.712,12.0,0.352,669.0
VYG00121,8.0,5966.91,19.0,12.7,null,3.0,0.243,2131.0,0.771,8.0,0.172,730.0
VYG00122,11.2,4277.18,17.0,18.5,62,5.0,0.034,1007.0,0.639,11.0,0.35,429.0
VYG00123,8.9,3066.37,24.0,26.3,43,8.0,0.365,360.0,0.713,13.0,0.5,30.0
VYG00124,8.1,6423.49,13.0,40.2,44,8.0,0.196,1373.0,0.825,8.0,0.433,815.0
VYG00125,6.7,3164.85,22.0,14.7,51,7.0,0.3,1919.0,0.982,7.0,0.245,635.0
VYG00126,5.8,1930.01,17.0,38.7,78,3.0,0.125,1995.0,0.697,6.0,0.035,499.0
VYG00127,6.1,3518.43,21.0,27.2,31,12.0,0.487,871.0,0.84,10.0,0.244,702.0
VYG00128,11.0,2536.02,17.0,,62,16.0,0.415,1055.0,0.643,12.0,0.062,69.0
VYG00129,8.8,2881.7,14.0,20.8,39,7.0,0.165,888.0,0.878,8.0,0.19,533.0
VYG00130,7.2,17487.83,26.0,42.5,49,11.0,0.244,1562.0,1.0,8.0,0.096,710.0
VYG00131,10.1,3374.79,15.0,40.4,69,1.0,0.575,1523.0,0.765,7.0,0.281,1012.0
VYG00132,4.1,1584.42,25.0,38.4,82,19.0,0.6,1454.0,0.973,13.0,0.177,416.0
VYG00133,6.2,3850.37,17.0,29.8,56,1.0,0.069,891.0,0.724,7.0,0.293,1018.0
VYG00134,7.4,2064.75,21.0,10.6,51,7.0,0.07,1171.0,1.0,10.0,0.259,673.0
VYG00135,3.1,8907.39,22.0,29.9,53,10.0,0.529,1378.0,0.896,8.0,0.317,797.0
VYG00136,10.7,1602.15,17.0,37.4,59,17.0,0.262,1998.0,0.888,15.0,0.411,967.0
VYG00137,10.5,4221.87,19.0,,66,7.0,0.11,1738.0,0.939,9.0,0.009,746.0
VYG00138,6.9,4689.63,15.0,35.5,40,,0.506,824.0,0.734,6.0,,284.0
VYG00139,7.9,4466.28,21.0,33.0,67,13.0,0.5,807.0,0.947,11.0,0.428,640.0
VYG00140,7.5,3591.67,18.0,21.6,88,,0.6,1184.0,0.753,11.0,0.117,733.0
VYG00141,10.1,1666.89,14.0,29.6,47,13.0,0.27,1709.0,0.895,6.0,0.393,730.0
VYG00142,9.4,3791.52,17.0,30.7,43,11.0,0.094,1432.0,0.862,11.0,0.236,545.0
VYG00143,7.9,3692.45,22.0,21.1,67,10.0,0.19,1451.0,0.702,11.0,0.118,735.0
VYG00144,12.2,7623.74,8.0,26.2,62,,0.165,1441.0,0.797,7.0,0.34,768.0
VYG00145,6.1,6397.18,21.0,32.6,41,8.0,0.226,1207.0,0.858,11.0,0.175,593.0
VYG00146,7.1,4263.93,12.0,29.9,65,7.0,0.239,1204.0,0.962,11.0,0.097,376.0
VYG00147,8.7,5851.58,19.0,19.5,52,11.0,0.168,1051.0,0.82,3.0,0.287,488.0
VYG00148,8.5,1685.95,16.0,29.3,73,26.0,0.289,594.0,0.577,6.0,0.5,592.0
VYG00149,9.0,2814.57,20.0,40.1,57,14.0,0.055,1409.0,0.854,6.0,0.116,748.0
VYG00150,7.7,6685.99,17.0,19.2,NA,13.0,0.065,505.0,0.674,10.0,0.5,668.0
VYG00151,9.8,6813.3,19.0,26.3,65,13.0,0.139,1220.0,0.884,13.0,0.226,353.0
VYG00152,9.5,5396.01,18.0,39.1,75,24.0,0.122,1497.0,0.826,,0.332,928.0
VYG00153,9.5,2774.32,12.0,28.4,75,15.0,0.521,536.0,0.769,6.0,0.132,813.0
VYG00154,8.3,3382.12,15.0,30.8,31,11.0,0.066,922.0,0.981,7.0,0.266,594.0
VYG00155,9.8,2752.52,20.0,35.8,66,7.0,0.233,1085.0,0.59,11.0,0.296,847.0
VYG00156,6.7,1333.78,13.0,37.6,77,21.0,0.456,1480.0,0.875,13.0,0.418,617.0
VYG00157,10.7,3817.38,11.0,,99,11.0,0.6,682.0,0.896,10.0,0.142,540.0
VYG00158,8.6,3840.51,23.0,30.2,60,,-0.187,397.0,0.983,4.0,0.153,782.0
VYG00159,9.0,3931.29,20.0,35.9,85,6.0,0.165,1782.0,0.673,12.0,0.497,969.0
VYG00160,5.2,3014.89,18.0,41.3,23,9.0,0.141,828.0,0.818,13.0,0.359,414.0
VYG00161,5.3,2856.38,21.0,28.7,77,21.0,0.259,955.0,0.776,7.0,0.129,418.0
VYG00162,5.5,2387.98,18.0,18.7,42,14.0,0.222,1148.0,0.746,7.0,0.295,514.0
VYG00163,10.4,2554.6,15.0,,76,17.0,0.263,1032.0,0.56,10.0,0.169,299.0
VYG00164,7.1,2602.64,12.0,30.4,58,2.0,0.31,1058.0,0.713,9.0,0.035,315.0
VYG00165,6.2,1998.1,16.0,34.0,75,17.0,0.073,1644.0,0.917,5.0,0.184,
VYG00166,8.1,5167.9,16.0,13.5,61,8.0,0.302,1453.0,0.832,8.0,,427.0
VYG00167,3.3,6678.51,16.0,23.1,53,9.0,0.057,534.0,0.882,13.0,0.324,72.0
VYG00168,12.7,5411.9,21.0,,99,9.0,0.45,1755.0,0.815,10.0,0.039,104.0
VYG00169,10.8,3537.76,18.0,11.3,55,14.0,0.217,1182.0,0.692,8.0,0.5,676.0
VYG00170,7.7,1873.21,18.0,24.1,29,8.0,0.197,1198.0,0.893,7.0,0.187,383.0
VYG00171,7.4,2769.7,19.0,31.6,57,4.0,0.353,1333.0,0.856,10.0,0.469,781.0
VYG00172,8.8,3390.22,20.0,23.9,57,18.0,0.6,2362.0,0.844,12.0,0.134,740.0
VYG00173,8.6,2956.23,21.0,36.8,46,9.0,0.586,720.0,0.646,8.0,0.019,
VYG00174,8.4,3147.87,18.0,18.8,41,2.0,0.253,735.0,0.546,7.0,0.085,598.0
VYG00175,7.6,2769.87,,44.4,64,28.0,0.125,1907.0,0.462,8.0,0.164,604.0
VYG00176,8.9,4104.95,23.0,31.8,52,9.0,0.432,1299.0,0.597,8.0,0.227,530.0
VYG00177,8.2,4752.58,17.0,27.8,73,1.0,0.122,1321.0,0.75,5.0,0.483,582.0
VYG00178,7.1,2651.14,20.0,21.0,46,8.0,0.315,638.0,0.861,8.0,0.028,418.0
VYG00179,6.8,8565.18,15.0,26.3,81,12.0,0.498,979.0,1.0,10.0,0.277,471.0
VYG00180,9.7,,22.0,33.4,54,12.0,0.195,1529.0,0.863,10.0,0.459,457.0
VYG00181,7.9,4675.85,15.0,24.9,78,9.0,0.411,176.0,0.761,7.0,0.116,493.0
VYG00182,7.7,4851.93,25.0,41.7,74,18.0,0.201,2103.0,0.764,7.0,0.367,788.0
VYG00183,6.4,2222.52,15.0,27.9,66,19.0,0.135,1077.0,1.0,9.0,0.275,437.0
VYG00184,7.0,4387.78,13.0,27.5,56,2.0,0.349,302.0,0.625,5.0,0.176,408.0
VYG00185,7.5,3260.53,23.0,43.4,39,14.0,0.275,974.0,0.847,12.0,0.076,573.0
VYG00186,7.4,3085.16,19.0,13.0,54,11.0,0.349,1382.0,0.85,6.0,0.198,794.0
VYG00187,8.4,4341.58,23.0,26.9,62,13.0,0.378,929.0,0.814,12.0,0.027,925.0
VYG00188,52.5,582647.42,18.0,,63,15.0,0.26,158168.0,0.748,9.0,0.054,32.0
VYG00189,7.6,7038.42,,26.7,65,5.0,0.374,733.0,0.756,5.0,0.303,560.0
VYG00190,7.3,7349.7,22.0,41.8,52,7.0,0.379,1153.0,0.933,6.0,0.216,784.0
VYG00191,7.5,6848.72,23.0,32.8,39,17.0,0.233,2070.0,0.965,10.0,0.458,
VYG00192,9.7,2940.42,20.0,24.3,47,12.0,0.444,1560.0,0.765,11.0,0.362,1135.0
VYG00193,7.6,6346.09,19.0,26.9,69,6.0,0.395,739.0,0.849,4.0,0.5,683.0
VYG00194,11.1,3632.75,15.0,33.6,71,25.0,0.078,1030.0,0.726,8.0,0.092,393.0
  VYG00195,9.8,,13.0,37.6,59,7.0,0.6,1534.0,0.758,7.0,0.099,840.0
VYG00196,6.0,2974.92,14.0,17.3,85,4.0,0.079,1340.0,0.756,7.0,0.391,526.0
VYG00197,5.9,7853.94,12.0,32.7,61,13.0,0.297,993.0,0.947,4.0,0.41,155.0
VYG00198,11.8,5508.41,21.0,19.1,88,1.0,0.469,1259.0,0.91,6.0,0.24,580.0
VYG00199,6.0,2789.3,18.0,18.3,76,2.0,0.091,1384.0,0.814,,0.286,616.0
VYG00200,3.7,6159.95,20.0,24.3,72,19.0,0.221,889.0,0.765,9.0,0.128,772.0
VYG00201,9.7,2845.25,16.0,30.2,missing,12.0,0.156,465.0,0.881,11.0,0.271,546.0
VYG00202,11.6,2850.72,18.0,36.5,51,8.0,0.213,200.0,0.687,9.0,0.145,391.0
VYG00203,7.3,5024.76,15.0,38.2,62,21.0,0.302,1253.0,0.692,12.0,0.061,254.0
VYG00204,8.4,2191.08,25.0,30.0,62,14.0,0.437,1321.0,0.887,12.0,0.076,413.0
VYG00205,7.0,2622.84,16.0,29.6,34,20.0,0.059,737.0,0.671,10.0,0.368,501.0
VYG00206,9.6,3554.01,14.0,63.2,55,9.0,0.457,1966.0,0.89,9.0,0.134,527.0
VYG00207,9.8,3460.78,21.0,25.4,40,7.0,0.188,1800.0,0.683,9.0,0.163,470.0
VYG00208,2.0,7889.56,16.0,30.2,50,9.0,0.345,1261.0,0.819,16.0,0.15,714.0
VYG00209,8.7,,13.0,26.9,52,6.0,0.269,1236.0,0.648,3.0,0.405,222.0
VYG00210,6.0,5916.79,20.0,27.4,67,4.0,0.286,1491.0,0.907,12.0,0.195,624.0
VYG00211,9.8,2249.74,,13.7,55,11.0,0.089,1147.0,0.743,5.0,0.334,534.0
VYG00212,5.6,3091.6,20.0,26.6,75,10.0,0.479,339.0,0.731,11.0,0.5,635.0
VYG00213,8.3,6091.63,19.0,25.3,66,5.0,0.6,1525.0,1.0,3.0,0.024,641.0
VYG00214,7.5,1823.54,19.0,8.8,86,8.0,0.249,1792.0,0.967,11.0,0.031,373.0
VYG00215,6.5,,24.0,15.0,41,15.0,0.08,979.0,0.662,12.0,0.125,422.0
VYG00216,5.3,2507.27,19.0,21.9,74,12.0,0.253,1586.0,0.75,11.0,0.5,1066.0
VYG00217,5.3,1921.43,21.0,24.8,36,16.0,0.317,1094.0,0.808,6.0,0.191,600.0
VYG00218,6.9,1816.85,18.0,28.5,56,6.0,0.373,1155.0,0.724,12.0,0.223,751.0
VYG00219,6.6,3828.57,23.0,29.1,50,4.0,0.541,1303.0,0.821,5.0,0.083,480.0
VYG00220,11.2,1644.39,18.0,20.9,75,15.0,0.07,1530.0,0.89,11.0,0.022,505.0
VYG00221,7.5,2898.35,13.0,33.5,71,8.0,0.396,1281.0,0.857,4.0,0.168,418.0
VYG00222,9.0,6679.41,11.0,40.5,38,7.0,0.07,1089.0,0.838,7.0,0.196,730.0
VYG00223,6.0,5447.25,17.0,35.3,30,12.0,0.418,1478.0,0.675,6.0,0.5,785.0
VYG00224,6.0,3948.08,18.0,38.4,54,,0.323,1262.0,0.744,10.0,0.5,215.0
VYG00225,6.4,3198.68,23.0,47.3,56,6.0,0.456,290.0,0.816,14.0,0.313,885.0
VYG00226,8.4,3414.38,16.0,32.3,55,17.0,0.296,1717.0,0.594,5.0,0.358,653.0
VYG00227,6.9,5392.4,18.0,29.8,50,22.0,0.359,687.0,0.905,10.0,0.225,521.0
VYG00228,6.3,2353.76,15.0,31.9,99,12.0,0.401,1324.0,0.964,9.0,0.242,871.0
VYG00229,8.4,9071.0,26.0,16.1,NA,21.0,0.322,1266.0,0.793,7.0,0.447,
VYG00230,,4244.87,16.0,27.3,61,1.0,0.365,1083.0,missing,8.0,0.374,418.0
VYG00231,6.7,2839.16,17.0,16.1,88,7.0,0.138,1348.0,0.74,6.0,0.182,481.0
VYG00232,5.4,2283.57,13.0,32.7,70,11.0,0.359,1786.0,0.673,10.0,0.161,678.0
VYG00233,6.8,5313.03,23.0,31.6,75,12.0,0.158,78.0,0.831,9.0,0.455,866.0
VYG00234,6.4,3698.9,13.0,50.5,67,9.0,0.019,883.0,0.723,4.0,0.5,45.0
VYG00235,6.0,2836.66,18.0,39.5,53,25.0,0.452,1250.0,0.746,14.0,0.153,705.0
VYG00236,8.4,1660.15,18.0,24.6,21,17.0,0.393,1162.0,0.493,5.0,0.332,404.0
VYG00237,7.1,7388.72,17.0,31.5,87,3.0,0.126,1246.0,0.79,7.0,0.183,674.0
VYG00238,8.3,6236.15,18.0,36.4,75,19.0,0.263,1070.0,0.74,5.0,0.381,996.0
VYG00239,10.1,4179.54,22.0,28.6,62,16.0,0.146,1100.0,0.763,6.0,0.47,507.0
VYG00240,9.6,2011.82,23.0,34.7,89,15.0,0.054,1240.0,0.788,13.0,0.304,478.0
VYG00241,4.5,4497.21,22.0,34.5,69,9.0,0.14,1494.0,0.928,11.0,0.317,657.0
VYG00242,8.0,4814.11,20.0,28.3,72,2.0,0.516,1195.0,0.667,,0.185,597.0
VYG00243,,2906.07,23.0,20.1,72,21.0,0.285,1783.0,0.762,14.0,0.201,844.0
VYG00244,7.5,4556.33,18.0,31.5,97,9.0,0.503,1067.0,0.764,11.0,0.02,701.0
VYG00245,9.6,4213.86,16.0,35.4,54,24.0,0.474,1389.0,0.766,11.0,0.5,610.0
VYG00246,8.4,5110.54,22.0,40.4,70,23.0,0.202,1662.0,0.672,8.0,0.199,
VYG00247,7.5,4947.51,13.0,25.8,76,18.0,0.556,1089.0,0.879,6.0,0.178,650.0
VYG00248,7.5,1722.79,11.0,20.4,56,,0.144,1471.0,0.519,9.0,0.121,680.0
VYG00249,7.8,2591.02,20.0,21.2,78,25.0,0.235,717.0,0.749,11.0,0.014,318.0
VYG00250,5.2,2037.56,25.0,30.8,90,16.0,0.1,1645.0,0.623,6.0,0.309,
VYG00251,7.5,5081.35,15.0,38.6,44,3.0,0.257,1661.0,0.65,7.0,0.178,820.0
VYG00252,9.8,2127.46,18.0,38.5,55,15.0,0.228,1468.0,0.814,10.0,0.494,483.0
VYG00253,6.4,2407.88,12.0,32.1,85,19.0,0.179,882.0,0.884,8.0,0.246,126.0
VYG00254,,3151.07,18.0,23.1,44,6.0,0.463,1156.0,0.712,6.0,0.042,882.0
VYG00255,9.9,2310.92,14.0,29.2,42,14.0,0.37,1339.0,0.964,9.0,0.28,613.0
VYG00256,11.3,2664.82,20.0,15.7,63,5.0,0.192,1620.0,0.634,13.0,0.34,546.0
VYG00257,4.0,7370.19,16.0,25.9,64,17.0,0.316,1072.0,0.701,,0.268,596.0
VYG00258,7.1,2344.3,15.0,48.4,77,7.0,0.161,945.0,0.965,14.0,0.348,568.0
VYG00259,6.0,4025.61,25.0,16.9,77,8.0,0.56,1624.0,0.928,11.0,0.189,529.0
VYG00260,6.5,3032.4,15.0,25.7,68,15.0,0.236,1877.0,0.731,10.0,0.087,1246.0
